product,price,category
Creme Serum Hidratação Profunda para Olheira e Inchaço nos Olhos com Acido Hialurônico Cetaphil - 15ml,"R$ 190,48","
                    Cuidado Pessoal
                "
Loção Corporal Hidratante  para Pele Sensivel Seca com Acido Hialurônico Vitamina E & B5 Cetaphil - 437ml,"R$ 180,96","
                    Cuidado Pessoal
                "
Loção Corporal Hidratante  para Pele Sensivel Seca com Acido Hialurônico Vitamina E & B5 Cetaphil - 236ml,"R$ 181,12","
                    Cuidado Pessoal
                "
Protetor Solar Hidratante SPF 50 Transparente para Rosto e Corpo Pele Sensivel Cetaphil - 89ml,"R$ 181,86","
                    Cuidado Pessoal
                "
Creme Hidratante Intensivo comOleo de Espuma do Prado Cetaphil - 85 Gramas,"R$ 180,21","
                    Cuidado Pessoal
                "
product,price,category
"Flange ComfortFit de Bomba de Leite Materno 30,5mm Lansinoh - 2 Unidades","R$ 204,67","
                    Bomba Leite Materno
                "
Flange ComfortFit de Bomba de Leite Materno 28mm Lansinoh - 2 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco de Armazenamento de Leite Materno 120ml Lansinoh - 50 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco Selado para Armazenamento de Leite Materno 180ml Medela - 50 Unidades,"R$ 203,44","
                    Bomba Leite Materno
                "
Frasco de Coleta e Armazenamenro de Leite Materno 150ml Medela - 6 Unidades,"R$ 203,64","
                    Bomba Leite Materno
                "
product,price,category
"Flange ComfortFit de Bomba de Leite Materno 30,5mm Lansinoh - 2 Unidades","R$ 204,67","
                    Bomba Leite Materno
                "
Flange ComfortFit de Bomba de Leite Materno 28mm Lansinoh - 2 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco de Armazenamento de Leite Materno 120ml Lansinoh - 50 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco Selado para Armazenamento de Leite Materno 180ml Medela - 50 Unidades,"R$ 203,44","
                    Bomba Leite Materno
                "
Frasco de Coleta e Armazenamenro de Leite Materno 150ml Medela - 6 Unidades,"R$ 203,64","
                    Bomba Leite Materno
                "
product,price,category
"Flange ComfortFit de Bomba de Leite Materno 30,5mm Lansinoh - 2 Unidades","R$ 204,67","
                    Bomba Leite Materno
                "
Flange ComfortFit de Bomba de Leite Materno 28mm Lansinoh - 2 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco de Armazenamento de Leite Materno 120ml Lansinoh - 50 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco Selado para Armazenamento de Leite Materno 180ml Medela - 50 Unidades,"R$ 203,44","
                    Bomba Leite Materno
                "
Frasco de Coleta e Armazenamenro de Leite Materno 150ml Medela - 6 Unidades,"R$ 203,64","
                    Bomba Leite Materno
                "
product,price,category
"Flange ComfortFit de Bomba de Leite Materno 30,5mm Lansinoh - 2 Unidades","R$ 204,67","
                    Bomba Leite Materno
                "
Flange ComfortFit de Bomba de Leite Materno 28mm Lansinoh - 2 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco de Armazenamento de Leite Materno 120ml Lansinoh - 50 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco Selado para Armazenamento de Leite Materno 180ml Medela - 50 Unidades,"R$ 203,44","
                    Bomba Leite Materno
                "
Frasco de Coleta e Armazenamenro de Leite Materno 150ml Medela - 6 Unidades,"R$ 203,64","
                    Bomba Leite Materno
                "
product,price,category
"Flange ComfortFit de Bomba de Leite Materno 30,5mm Lansinoh - 2 Unidades","R$ 204,67","
                    Bomba Leite Materno
                "
Flange ComfortFit de Bomba de Leite Materno 28mm Lansinoh - 2 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco de Armazenamento de Leite Materno 120ml Lansinoh - 50 Unidades,"R$ 210,47","
                    Bomba Leite Materno
                "
Saco Selado para Armazenamento de Leite Materno 180ml Medela - 50 Unidades,"R$ 203,44","
                    Bomba Leite Materno
                "
Frasco de Coleta e Armazenamenro de Leite Materno 150ml Medela - 6 Unidades,"R$ 203,64","
                    Bomba Leite Materno
                "
